time_utc,symbol,source,regime,breadth_pct,technical_score,required_score,entry_ready,technical_pass,expert_score,expert_verdict,coverage,top_position_ratio,top_account_ratio,global_ratio,taker_ratio,oi_change_pct,funding_pct,shadow_action
2026-08-27T22:19:48.792201+00:00,SUIUSDT,TREND,PROBE,80.00,7.5759,8.0500,N,N,0.4279,CONFIRM,6,2.5682,2.9888,2.3311,1.0910,0.1755,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:19:50.365505+00:00,SOLUSDT,TREND,PROBE,80.00,7.5224,8.0500,N,N,0.2816,SUPPORT,6,1.9968,1.5063,1.4160,0.6918,-0.0318,-0.00194,OBSERVE
2026-08-27T22:19:50.365583+00:00,PEPEUSDT,CORE,PROBE,80.00,7.5197,7.7000,N,N,0.0000,NO_FUTURES_DATA,0,NA,NA,NA,NA,NA,NA,OBSERVE
2026-08-27T22:19:51.938254+00:00,LINKUSDT,TREND,PROBE,80.00,7.2416,8.0500,N,N,0.4549,CONFIRM,6,2.0418,1.8986,1.6681,1.2796,0.0301,0.00823,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:19:53.519932+00:00,AVAXUSDT,CORE,PROBE,80.00,7.1648,7.7000,N,N,0.5621,CONFIRM,6,2.7767,2.7850,2.1230,2.0598,0.1886,0.00809,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:19:55.097076+00:00,DOGEUSDT,TREND,PROBE,80.00,7.1521,8.0500,N,N,0.5098,CONFIRM,6,3.9552,3.5065,2.6832,1.5570,0.2663,0.00867,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:19:56.664431+00:00,NEARUSDT,TREND,PROBE,80.00,6.7695,8.0500,N,N,0.3280,SUPPORT,6,2.8821,1.8257,1.4857,1.1552,0.0276,0.00808,OBSERVE
2026-08-27T22:24:54.946589+00:00,PUMPUSDT,TREND,PROBE,78.33,7.6862,8.0500,N,N,0.2141,SUPPORT,6,1.2884,1.1805,1.1805,0.9513,1.0434,0.00500,OBSERVE
2026-08-27T22:24:56.523645+00:00,AAVEUSDT,CORE,PROBE,78.33,7.6282,7.7000,N,N,0.3438,SUPPORT,6,2.3295,1.5497,1.4056,1.0298,0.3886,0.01000,OBSERVE
2026-08-27T22:24:58.100581+00:00,PENGUUSDT,TREND,PROBE,78.33,7.6047,8.0500,N,N,0.3915,CONFIRM,6,3.1265,1.5233,1.2962,1.2410,0.4180,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:25:00.129134+00:00,DASHUSDT,CORE,PROBE,78.33,7.5602,7.7000,N,N,0.5804,CONFIRM,6,3.4869,1.6918,1.1336,1.9587,0.5683,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:25:01.778158+00:00,VIRTUALUSDT,CORE,PROBE,78.33,7.5274,7.7000,N,N,0.3061,SUPPORT,6,2.7111,1.2946,0.9701,1.1510,0.4163,0.00360,OBSERVE
2026-08-27T22:25:03.359679+00:00,REUSDT,CORE,PROBE,78.33,7.2322,7.7000,N,N,0.2470,SUPPORT,6,1.6676,0.5489,0.4302,1.5649,0.1554,0.00500,OBSERVE
2026-08-27T22:25:05.383280+00:00,DOGEUSDT,TREND,PROBE,78.33,7.1321,8.0500,N,N,0.2971,SUPPORT,6,3.9528,3.4984,2.6846,0.9177,0.2825,0.00833,OBSERVE
2026-08-27T22:25:06.961480+00:00,XLMUSDT,TREND,PROBE,78.33,7.0274,8.0500,N,N,0.3203,SUPPORT,6,1.4607,1.3776,1.0781,1.3076,0.2488,0.00643,OBSERVE
2026-08-27T22:29:39.339401+00:00,PENGUUSDT,TREND,PROBE,76.67,7.8199,8.0500,N,N,0.4383,CONFIRM,6,3.1180,1.5170,1.2873,1.4015,0.0100,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:29:40.936917+00:00,AAVEUSDT,CORE,PROBE,76.67,7.5257,7.7000,N,N,0.4695,CONFIRM,6,2.3339,1.5323,1.3906,1.5958,0.1161,0.01000,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:29:42.523893+00:00,PROMUSDT,CORE,PROBE,76.67,6.6000,7.7000,N,N,-0.1431,CAUTION,6,1.0945,0.7376,0.8232,0.6455,0.4192,0.00500,OBSERVE
2026-08-27T22:29:44.112297+00:00,ZROUSDT,CORE,PROBE,76.67,6.5949,7.7000,N,N,0.3910,CONFIRM,6,3.1511,1.2548,1.0276,1.1496,0.3352,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:34:26.441401+00:00,PENGUUSDT,TREND,WEAK,70.00,7.3730,99.3500,N,N,0.4716,CONFIRM,6,3.1033,1.5119,1.2836,1.5732,0.1721,0.00500,WOULD_SUPPORT_NEAR_READY
2026-08-27T22:39:28.506134+00:00,PENGUUSDT,TREND,RISK_OFF,50.00,7.0937,99.3500,N,N,0.2381,SUPPORT,6,3.0842,1.5126,1.2936,0.8760,0.0548,0.00500,OBSERVE
2026-08-27T22:44:24.828717+00:00,ZROUSDT,CORE,RISK_OFF,48.33,6.8785,99.0000,N,N,0.1976,SUPPORT,6,3.1817,1.2447,1.0186,0.6640,0.7168,0.00500,OBSERVE
2026-08-27T22:49:37.251810+00:00,WLFIUSDT,CORE,RISK_OFF,60.00,7.0673,99.0000,N,N,0.1664,SUPPORT,6,1.4545,1.0117,0.7634,1.3405,-0.0301,0.00500,OBSERVE
2026-08-27T22:54:28.036098+00:00,ZROUSDT,CORE,RISK_OFF,26.67,6.8866,99.0000,N,N,0.2041,SUPPORT,6,3.1905,1.2321,1.0080,0.3583,0.2858,0.00500,OBSERVE
2026-08-27T23:14:31.804457+00:00,BEAMXUSDT,CORE,RISK_OFF,30.00,7.9841,99.0000,N,N,0.1968,SUPPORT,6,0.7622,1.1631,1.1004,2.1697,1.0988,0.00500,OBSERVE
2026-08-27T23:14:33.387332+00:00,ENAUSDT,CORE,RISK_OFF,30.00,7.0249,99.0000,N,N,0.1059,SUPPORT,6,1.4219,1.5981,1.5452,0.7867,0.1542,0.00500,OBSERVE
2026-08-27T23:14:34.981244+00:00,XRPUSDT,TREND,RISK_OFF,30.00,6.9310,99.3500,N,N,0.2649,SUPPORT,6,2.0954,2.7594,2.4674,0.8412,0.0652,-0.00005,OBSERVE
2026-08-27T23:14:36.564058+00:00,BICOUSDT,TREND,RISK_OFF,30.00,6.9104,99.3500,N,N,0.4544,CONFIRM,6,1.4304,1.1088,0.9033,1.5154,0.9954,-0.33051,WOULD_SUPPORT_NEAR_READY
2026-08-27T23:19:24.476397+00:00,BEAMXUSDT,CORE,RISK_OFF,16.67,7.4603,99.0000,N,N,-0.0193,NEUTRAL,6,0.7601,1.1538,1.0978,1.4349,0.4349,0.00500,OBSERVE
